Shipment Number,Internal Order ID,SKU,Venue,Order ID,Purchase Date,Current Status,Status Update Date,Scheduled Delivery Date
C1735707,026-6989357-6857158-1,SONG081120099X,amu,026-6989357-6857158,2024-08-24 05:46:20,Delivered,2024-08-30 11:00:00,2024-08-30 11:00:00
C1733532,03-11973-81954-1,SONG0841909105,EBAY_UK_plsshipfast_B,03-11973-81954,2024-08-20 03:08:21,Delivered,2024-08-30 11:00:00,2024-08-30 11:00:00
Z305325,026-7492788-6175537-1-R1,DADAX0684856069,amu,026-7492788-6175537,2024-08-24 15:03:08,Delivered,2024-09-09 12:52:00,2024-09-09 12:52:00
C1738116,407-7379639-0981114-1,SONG0553289853,amnl,407-7379639-0981114,2024-08-28 00:56:35,Delivered,2024-09-09 12:52:00,2024-09-09 12:52:00
C1739043,028-1884811-8853144-1,DADAX0800627598,amd,028-1884811-8853144,2024-08-29 10:34:13,Delivered,2024-09-09 12:52:00,2024-09-09 12:52:00
C1741033,206-6544670-3677116-1,SONG0812216679,amu,206-6544670-3677116,2024-09-01 17:24:36,Delivered,2024-09-09 12:52:00,2024-09-09 12:52:00
Z305696,026-3628865-5101962-1-R1,DADAX0771008635,amu,026-3628865-5101962,2024-08-28 13:42:06,Delivered,2024-09-09 12:52:00,2024-09-09 12:52:00
C1739851,cs0-404-1481922-9420360-1,SONG0877853754,cs0,cs0-404-1481922-9420360,2024-08-30 16:56:34,Delivered,2024-09-09 12:52:00,2024-09-09 12:52:00
C1740015,205-2437667-0029140-1,DADAX0757305601,amu,205-2437667-0029140,2024-08-30 21:25:50,Delivered,2024-09-09 12:52:00,2024-09-09 12:52:00
C1741445,689545730-1,DADAX0449214923,abe,689545730,2024-09-01 17:50:53,Delivered,2024-09-09 12:52:00,2024-09-09 12:52:00
C1742243,404-7447791-9194756-1,SONG0854963502,amit,404-7447791-9194756,2024-09-03 13:52:43,Delivered,2024-09-14 12:45:00,2024-09-14 12:45:00
C1744677,206-7551848-6568352-1,SONG0670344125,amu,206-7551848-6568352,2024-09-07 03:34:33,Delivered,2024-09-14 12:45:00,2024-09-14 12:45:00
C1743969,689756648-1,SONG1894004272,abe,689756648,2024-09-05 13:47:01,Delivered,2024-09-14 12:45:00,2024-09-14 12:45:00
C1744555,206-3064361-2501908-1,DADAX1565630602,amu,206-3064361-2501908,2024-09-06 23:37:44,Delivered,2024-09-14 12:45:00,2024-09-14 12:45:00
C1745206,202-9484339-3177130-1,SONG1628651385,amu,202-9484339-3177130,2024-09-08 02:39:27,Delivered,2024-09-16 11:42:00,2024-09-16 11:42:00
C1743021,404-1014358-0509929-1,DADAX0545349222,amit,404-1014358-0509929,2024-09-04 18:43:10,Delivered,2024-09-14 12:45:00,2024-09-14 12:45:00
C1743467,204-3005231-2310747-1,SONG0310585902,amu,204-3005231-2310747,2024-09-05 12:14:47,Delivered,2024-09-14 12:45:00,2024-09-14 12:45:00
C1734640,cs0-403-0237470-9855568-1,DADAX0312262515,cs0,cs0-403-0237470-9855568,2024-08-22 16:00:56,Delivered,2024-09-14 12:45:00,2024-09-14 12:45:00
C1750137,203-8386307-2427562-1,DADAX0525707964,amu,203-8386307-2427562,2024-09-15 12:56:27,Delivered,2024-09-21 12:46:00,2024-09-21 12:46:00
C1753653,203-3541161-6850756-1,SONG031211057X,amu,203-3541161-6850756,2024-09-20 13:28:40,Delivered,2024-09-28 12:42:00,2024-09-28 12:42:00
C1726948,407-8610349-7315500-2,DADAX0857331671,amse,407-8610349-7315500,2024-08-08 03:14:19,Delivered,2024-08-20 11:08:00,2024-08-20 11:08:00
Z305074,204-8098630-3864355-1-R1,DADAX1931513554,amu,204-8098630-3864355,2024-08-09 02:04:56,Delivered,2024-09-03 09:54:00,2024-09-03 09:54:00
C1752362,403-2490581-0504301-1,DADAX0892541008,ampl,403-2490581-0504301,2024-09-18 17:04:03,Delivered,2024-09-24 10:53:00,2024-09-24 10:53:00
C1728840,026-0721691-3511542-1,DADAX1476734941,amu,026-0721691-3511542,2024-08-12 01:38:38,Delivered,2024-08-16 10:40:00,2024-08-16 10:40:00
C1725650,404-8766269-4109100-1,DADAX0829759972,amse,404-8766269-4109100,2024-08-05 23:06:55,Delivered,2024-08-12 15:12:00,2024-08-12 15:12:00
C1732211,202-2070368-6399547-1,DADAX1476734941,amu,202-2070368-6399547,2024-08-18 03:20:52,Delivered,2024-08-23 12:42:00,2024-08-23 12:42:00
C1734777,407-5958136-9310764-1,DADAX0802406475,ambe,407-5958136-9310764,2024-08-22 19:33:05,Delivered,2024-08-31 11:00:00,2024-08-31 11:00:00
C1736777,303-0692431-4956329-1,DADAX1455548073,amd,303-0692431-4956329,2024-08-26 00:48:40,Delivered,2024-08-31 11:00:00,2024-08-31 11:00:00
C1739337,405-0080972-3939545-1,DADAX160468836X,amit,405-0080972-3939545,2024-08-29 21:02:48,Delivered,2024-09-06 13:16:00,2024-09-06 13:16:00
C1747208,304-0203588-2089147-1,DADAX0312597282,amd,304-0203588-2089147,2024-09-11 00:43:15,Delivered,2024-09-19 10:40:00,2024-09-19 10:40:00
W699657,ERB701684-1,SONG0961587571,EB,ERB701684,2024-08-22 09:44:15,Delivered,2024-08-30 11:00:00,2024-08-30 11:00:00
C1737728,302-9616762-2705921-1,SONG0271730765,amd,302-9616762-2705921,2024-08-27 15:36:47,Delivered,2024-09-07 13:00:00,2024-09-07 13:00:00
C1737120,05-11995-68195-1,SONG0881010081,EBAY_UK_plsshipfast_B,05-11995-68195,2024-08-26 01:08:20,Delivered,2024-09-07 13:00:00,2024-09-07 13:00:00
C1740874,402-0965655-6373956-1,DADAX0062741969,amit,402-0965655-6373956,2024-09-01 11:40:32,Delivered,2024-09-10 13:11:00,2024-09-10 13:11:00
C1748391,205-0898781-4549901-1,SONG0553272918,amu,205-0898781-4549901,2024-09-12 19:36:57,Delivered,2024-09-24 10:13:00,2024-09-24 10:13:00
C1746575,cs0-503-6892923-4050227-1,DADAX0345389476,amau,cs0-503-6892923-4050227,2024-09-10 02:48:50,Delivered,2024-09-23 13:01:00,2024-09-23 13:01:00
C1724233,17-11888-37710-1,SONG1595320172,EBAY_UK_plsshipfast_B,17-11888-37710,2024-08-02 09:08:08,Delivered,2024-08-13 12:10:00,2024-08-13 12:10:00
C1723593,688017322-1,SONG1884615090,abe,688017322,2024-08-01 12:33:48,Delivered,2024-08-12 15:12:00,2024-08-12 15:12:00
W701270,ERB712345-2,SONG0914602373,EB,ERB712345,2024-09-11 17:59:49,Delivered,2024-09-19 10:40:00,2024-09-19 10:40:00
